time_ms,SO2_pptv,off_cts_norm,on_cts_norm,off_lsr_pwr_V,on_lsr_pwr_V
3734421169124.0,0.0,0.0,0.0,62.5,53.285714285714285
3734421169224.0,0.0,0.0,0.0,57.5,54.714285714285715
3734421169324.0,0.0,0.0,0.0,50.5,55.57142857142857
3734421169424.0,0.0,0.0,0.0,64.5,58.42857142857143
3734421169524.0,0.0,0.0,0.0,62.5,57.285714285714285
3734421169624.0,0.0,0.0,0.0,57.0,53.42857142857143
3734421169724.0,0.0,0.0,0.0,58.5,57.57142857142857
3734421169824.0,0.0,0.0,0.0,59.0,56.0
3734421169924.0,0.0,0.0,0.0,52.5,57.0
3734421170024.0,0.0,0.0,0.0,59.5,60.0
3734421170124.0,0.0,0.0,0.0,64.5,55.57142857142857
3734421170224.0,0.0,0.0,0.0,59.0,60.142857142857146
3734421170324.0,0.0,0.0,0.0,63.0,57.142857142857146
3734421170424.0,0.0,0.0,0.0,58.0,57.285714285714285
3734421170524.0,0.0,0.0,0.0,64.5,59.714285714285715
3734421170624.0,0.0,0.0,0.0,61.0,57.857142857142854
3734421170724.0,0.0,0.0,0.0,59.5,57.714285714285715
3734421170824.0,0.0,0.0,0.0,66.0,59.57142857142857
3734421170924.0,0.0,0.0,0.0,57.5,59.142857142857146
3734421171024.0,0.0,0.0,0.0,57.5,57.142857142857146
3734421171124.0,0.0,0.0,0.0,61.5,61.42857142857143
3734421171224.0,0.0,0.0,0.0,59.5,60.57142857142857
3734421171324.0,0.0,0.0,0.0,54.5,59.0
3734421171424.0,0.0,0.0,0.0,65.5,61.0
3734421171524.0,0.0,0.0,0.0,67.0,61.0
3734421171624.0,0.0,0.0,0.0,63.5,61.57142857142857
3734421171724.0,0.0,0.0,0.0,65.0,58.142857142857146
3734421171824.0,0.0,0.0,0.0,61.5,58.142857142857146
3734421171924.0,0.0,0.0,0.0,56.0,60.714285714285715
3734421172024.0,0.0,0.0,0.0,59.5,58.857142857142854
3734421172124.0,0.0,0.0,0.0,57.0,58.57142857142857
3734421172224.0,0.0,0.0,0.0,71.0,59.714285714285715
3734421172324.0,0.0,0.0,0.0,56.5,58.142857142857146
3734421172424.0,0.0,0.0,0.0,57.0,56.714285714285715
3734421172524.0,0.0,0.0,0.0,58.0,59.42857142857143
